decoder,hidden_dim,output_size,L1,L2,utterance_length,nb_utterances,produced,production_score
greedy,5,10,0.0,0.0,2,35,35,1.0
greedy,5,10,0.0,0.0,3,12,8,0.6666666666666666
greedy,5,10,0.0,0.0,4,4,1,0.25
greedy,5,10,0.0,0.0,5,2,0,0.0
greedy,5,10,0.0,0.0,6,1,0,0.0
beam,5,10,0.0,0.0,2,35,35,1.0
beam,5,10,0.0,0.0,3,12,11,0.9166666666666666
beam,5,10,0.0,0.0,4,4,2,0.5
beam,5,10,0.0,0.0,5,2,0,0.0
beam,5,10,0.0,0.0,6,1,0,0.0
greedy,5,10,0.01,0.0,2,35,35,1.0
